Rank,TitleLength,AgeHours,Points,Comments
1,41,2,109,41
2,7,2,46,12
3,57,1,22,5
4,70,5,73,49
5,64,7,99,72
6,18,7,84,28
7,59,7,69,12
8,75,7,64,36
9,52,1,3,0
10,35,7,95,19
11,39,4,46,18
12,28,15,131,28
13,43,11,75,19
14,65,10,69,11
15,64,16,684,184
16,29,24,387,111
17,56,8,34,13
18,71,2,6,0
19,61,24,406,195
20,28,19,189,155
21,28,3,9,0
22,67,6,26,0
23,70,3,5,0
24,24,24,179,241
25,26,14,62,26
26,70,4,29,8
27,47,12,184,65
28,47,24,265,77
29,33,10,67,40
30,21,7,39,6
31,68,5,75,36
32,28,24,210,113
33,31,24,289,185
34,28,24,262,124
35,79,3,17,5
36,68,24,189,56
37,51,24,178,102
38,74,24,136,41
39,62,48,1470,912
40,57,24,69,20
41,60,17,64,3
42,64,24,205,44
43,79,24,441,293
44,37,19,109,72
45,36,24,409,49
46,55,24,283,637
47,52,24,443,197
48,53,24,0,0
49,46,24,54,3
50,22,24,1532,266
51,33,7,19,10
52,66,48,427,272
53,67,72,473,183
54,39,24,138,31
55,35,24,115,11
56,17,24,135,131
57,68,16,68,31
58,69,48,567,238
59,28,24,401,163
60,23,24,46,19
61,70,11,3,0
62,45,14,231,152
63,52,8,9,3
64,75,48,132,91
65,19,48,167,108
66,80,4,30,5
67,80,24,17,0
68,51,48,285,268
69,36,48,373,122
70,46,4,7,1
71,27,48,122,57
72,77,48,110,34
73,56,48,84,120
74,25,48,146,76
75,20,24,38,3
76,69,20,56,12
77,49,48,106,54
78,46,48,524,221
79,50,23,76,14
80,31,22,94,45
81,77,48,404,242
82,18,48,91,67
83,42,48,107,78
84,28,24,186,45
85,66,144,873,518
86,45,72,564,182
87,73,48,57,33
88,54,3,44,51
89,69,48,98,84
90,64,17,139,73
91,31,17,106,21
92,54,72,137,24
93,80,24,12,1
94,38,48,280,48
95,25,16,65,46
96,56,24,17,8
97,66,96,668,377
98,79,48,279,309
99,53,48,218,89
100,35,48,155,52
101,37,48,153,46
102,15,48,275,109
103,74,7,10,8
104,38,48,196,66
105,65,24,109,57
106,78,24,81,2
107,41,48,125,62
108,48,48,209,128
109,61,20,31,7
110,59,6,38,9
111,41,48,28,0
112,58,24,132,8
113,38,48,83,70
114,79,72,126,57
115,43,48,154,113
116,77,48,210,34
117,68,7,8,0
118,55,48,243,50
119,50,24,82,124
120,45,48,442,191
121,39,48,167,196
122,24,48,49,28
123,46,48,86,52
124,67,48,1597,739
125,72,24,11,2
126,24,96,214,235
127,74,72,122,24
128,72,96,286,182
129,62,24,86,198
130,49,24,21,4
131,21,96,182,193
132,67,24,6,0
133,77,20,16,13
134,23,72,146,65
135,45,96,184,86
136,28,24,10,0
137,49,24,87,36
138,26,48,17,2
139,77,48,70,12
140,42,96,246,34
141,27,48,238,85
142,53,72,70,27
143,39,96,136,215
144,64,48,22,26
145,52,24,6,0
146,69,24,11,2
147,67,72,343,201
148,48,72,63,19
149,22,48,82,41
150,48,23,21,38
